Identifier,Title,Start date,End date,Number of deaths
IBD031681,"Food Poisoning, Imo",2025-04-18,2025-04-18,1
IBD032064,"Gunmen Kill Man, Benue",2025-03-31,2025-03-31,1
IBD032058,"Auto Crash, Lagos",2025-03-31,2025-03-31,1
IBD032066,"Stray Bullets, Sokoto",2025-03-31,2025-03-31,1
IBD032062,"Lightening Kills Herder, Kaduna",2025-03-30,2025-03-30,1
IBD032049,"Auto Crash, Katsina",2025-03-30,2025-03-30,9
IBD032065,"Sallah Day Celebration Clash, Plateau",2025-03-30,2025-03-30,4
IBD032054,"Auto Crash, Abia",2025-03-30,2025-03-30,1
IBD032048,"Gas Explosion, Delta",2025-03-30,2025-03-30,2
IBD032061,"Auto Crash, Ogun",2025-03-30,2025-03-30,1
IBD032052,"Stampede, Gombe",2025-03-30,2025-03-30,2
IBD032063,"Fishing Activities, Kogi",2025-03-30,2025-03-30,2
IBD032057,"Herdsmen Kill Graduate, FCT (Abuja)",2025-03-29,2025-03-29,1
IBD032060,"Labourer Kills Employer, Ondo",2025-03-29,2025-03-29,1
IBD032050,"Auto Crash, Lagos",2025-03-29,2025-03-29,1
IBD032059,"Extrajudicial Killing, Delta",2025-03-29,2025-03-29,1
IBD032046,"Security Forces vs Shiites Members, FCT (Abuja)",2025-03-28,2025-03-28,6
IBD032056,"Pirates vs Fashion Designer, Rivers (Offshore)",2025-03-28,2025-03-28,1
IBD032042,"Gas Explosion, Abia",2025-03-27,2025-03-27,2
IBD032051,"Gunmen Attack, Plateau",2025-03-27,2025-03-27,52
IBD032028,"Auto Crash, Kano",2025-03-26,2025-03-26,2
IBD032027,"Lakurawa vs Customs Officers, Kebbi",2025-03-26,2025-03-26,2
IBD032045,"Domestic Violence, Sokoto",2025-03-26,2025-03-26,1
IBD032037,"Domestic Violence, Edo",2025-03-26,2025-03-26,1
IBD032033,"Taskforce Raid, FCT (Abuja)",2025-03-26,2025-03-26,2
IBD032032,"Chieftaincy Tussle, Ondo",2025-03-26,2025-03-26,1
IBD032039,"Domestic Violence, Lagos",2025-03-26,2025-03-26,1
IBD032044,"Domestic Violence, Ekiti",2025-03-25,2025-03-25,2
IBD032030,"Rainstorm, Cross River",2025-03-25,2025-03-25,3
IBD032025,"Auto Crash, Abia",2025-03-25,2025-03-25,2
IBD032034,"Gunmen vs Land Agent, Delta",2025-03-25,2025-03-25,1
IBD032041,"Pipeline Vandal, Rivers",2025-03-25,2025-03-25,1
IBD032020,"Troops vs Armed Robber, Plateau",2025-03-24,2025-03-24,1
IBD032019,"Troops Kill Bandit, Plateau",2025-03-24,2025-03-24,1
IBD032014,"Kidnapper, Anambra",2025-03-24,2025-03-24,1
IBD032026,"Ritual Killing, Rivers",2025-03-24,2025-03-24,2
IBD032017,"Army vs Boko Haram, Borno",2025-03-24,2025-03-24,8
IBD032009,"Jailbreak, Kogi",2025-03-24,2025-03-24,1
IBD032055,"Auto Crash, Lagos",2025-03-24,2025-03-24,1
IBD032012,"Gunmen vs Police, Enugu",2025-03-24,2025-03-24,1
IBD032016,"Army vs Boko Haram, Borno",2025-03-24,2025-03-24,3
IBD031984,"Extrajudicial Killing, Cross River",2025-03-23,2025-03-23,2
IBD032006,"Assailants vs Motorcycle Rider, Bauchi",2025-03-23,2025-03-23,1
IBD032018,"Hunter Killed, Ogun",2025-03-23,2025-03-23,1
IBD032007,"Gunmen Attack, Plateau",2025-03-23,2025-03-23,3
IBD032008,"Auto Crash, Osun",2025-03-23,2025-03-23,8
IBD032010,"Bandits Kill 2, Kogi",2025-03-23,2025-03-23,2
IBD031983,"Bandits Attack, Sokoto",2025-03-22,2025-03-22,1
IBD031989,"Bandits vs Security Operatives, Zamfara",2025-03-22,2025-03-22,10
IBD031985,"Kidnappers Kill 1, Benue",2025-03-22,2025-03-22,1
IBD032035,"Kidnap Victims, Kaduna",2025-03-22,2025-03-22,3
IBD031987,"Herdsmen Attack, Edo",2025-03-22,2025-03-22,1
IBD031995,"Herders Kill Farmer, FCT (Abuja)",2025-03-22,2025-03-22,1
IBD031990,"Assailants vs Security Man, Bauchi",2025-03-22,2025-03-22,1
IBD032011,"POS Operator, Adamawa",2025-03-22,2025-03-22,1
IBD032021,"Generator Fume Kill 2, Rivers",2025-03-22,2025-03-22,2
IBD031992,"Communal Clash, Osun",2025-03-21,2025-03-21,2
IBD031996,"Hoodlums vs Worshippers, Kaduna",2025-03-21,2025-03-21,1
IBD032040,"Man Dies in Hotel, Delta",2025-03-21,2025-03-21,1
IBD032038,"Domestic Violence, Edo",2025-03-21,2025-03-21,1
IBD032031,Police vs Kidnappers. Delta,2025-03-21,2025-03-21,5
IBD031986,"Gunmen Attack, Anambra",2025-03-20,2025-03-20,3
IBD032004,"Security Force vs Lakurawa, Kebbi",2025-03-20,2025-03-20,2
IBD032047,"Northern Hunters, Edo",2025-03-20,2025-03-20,16
IBD031981,"Miyetti Allah Chairman, Plateau",2025-03-20,2025-03-20,1
IBD032013,"Kidnap Victim, Bauchi",2025-03-20,2025-03-20,1
IBD031980,"Herdsmen Attack, Benue",2025-03-19,2025-03-19,5
IBD031982,"Rape Victim, Delta",2025-03-19,2025-03-19,1
IBD032002,"Inferno, Yobe",2025-03-19,2025-03-19,1
IBD031994,"Banditary, Katsina",2025-03-19,2025-03-19,10
IBD031971,"Domestic Violence, Lagos",2025-03-19,2025-03-19,1
IBD031979,"Assailants vs Security Guard, Ebonyi",2025-03-19,2025-03-19,1
IBD031972,"Explosion/Auto Crash, FCT (Abuja)",2025-03-19,2025-03-19,10
IBD031975,"Herders vs Farmers, Ondo",2025-03-19,2025-03-19,10
IBD031970,"Auto Crash, Rivers",2025-03-18,2025-03-18,1
IBD031993,"NAF vs Boko Haram, Borno",2025-03-18,2025-03-18,25
IBD031978,"Rainstorm Kill 1, Ogun",2025-03-18,2025-03-18,1
IBD031974,"Army vs Terrorist, Zamfara",2025-03-18,2025-03-18,7
IBD031977,Police vs Gunmen Benue,2025-03-18,2025-03-19,12
IBD031969,"Communal Clash, Ebonyi",2025-03-17,2025-03-17,2
IBD031973,"Army vs Terrorist, Katsina",2025-03-17,2025-03-17,3
IBD031991,"NAF vs Boko Haram, Borno",2025-03-17,2025-03-17,10
IBD031988,"Lawyer vs Student, Imo",2025-03-17,2025-03-17,1
IBD032003,"Electrocution, Lagos",2025-03-17,2025-03-17,1
IBD031976,"Herdsmen Attack, Benue",2025-03-17,2025-03-17,2
IBD032036,"NAF vs Terrorists, Borno",2025-03-16,2025-03-16,40
IBD032005,"Explosion, Rivers",2025-03-16,2025-03-16,1
IBD031955,"Auto Crash, Imo",2025-03-16,2025-03-16,7
IBD031997,"Boy Suffocates, Lagos",2025-03-16,2025-03-16,1
IBD032015,"Domestic Violence, Edo",2025-03-16,2025-03-16,2
IBD031952,"Armed Robbers vs Watchman, Katsina",2025-03-16,2025-03-16,1
IBD032023,"Auto Crash, Kaduna",2025-03-16,2025-03-16,2
IBD031959,"Gunmen vs Fulani Leader, Kwara",2025-03-16,2025-03-16,1
IBD015011,"Mob Attack, Lagos",2025-03-15,2025-03-15,1
IBD031949,"Auto Crash, Anambra",2025-03-15,2025-03-15,6
IBD031958,"Assailants vs Bride, Jigawa",2025-03-15,2025-03-15,1
IBD031950,"Army vs Bandits, Katsina",2025-03-15,2025-03-15,12
IBD031953,"Army vs Bandits, Katsina",2025-03-15,2025-03-15,12
IBD032022,"Mob vs Armed Robber, Lagos",2025-03-15,2025-03-15,1
IBD031942,"Communal Clash, Cross River",2025-03-15,2025-03-15,2
IBD031965,"Cult Clash, Ogun",2025-03-15,2025-03-15,4
IBD031945,"Police vs Kidnappers, Abia",2025-03-14,2025-03-14,6
IBD031967,"Gunmen vs Herders, Enugu",2025-03-14,2025-03-14,5
IBD031946,"Police vs Kidnapper, Nasarawa",2025-03-14,2025-03-14,1
IBD031948,"Drowns, Rivers",2025-03-14,2025-03-14,1
IBD031968,"Domestic Violence, Abia",2025-03-14,2025-03-14,1
IBD031943,"NAF vs Bandit, Katsina",2025-03-13,2025-03-13,22
IBD031944,"Catholic Seminarian, Edo",2025-03-13,2025-03-13,1
IBD031956,"Farmer, Benue",2025-03-12,2025-03-12,1
IBD031947,"Soldiers vs Kidnappers, Plateau",2025-03-12,2025-03-12,2
IBD031938,"Auto Crash, Edo",2025-03-12,2025-03-12,1
IBD031954,"Vigilantes, FCT (Abuja)",2025-03-11,2025-03-11,2
IBD032024,"Kidnappers vs Village Head, Kaduna",2025-03-11,2025-03-11,1
IBD031929,"Auto Crash/Explosion, Lagos",2025-03-11,2025-03-11,3
IBD031928,"Herders Attack, Benue",2025-03-11,2025-03-11,4
IBD031937,"Army vs Terrorist, Kaduna",2025-03-11,2025-03-11,3
IBD031957,"Bandits vs Worshippers, Nasarawa",2025-03-10,2025-03-10,3
IBD031909,"Domestic Violence, Akwa Ibom",2025-03-10,2025-03-10,1
IBD031924,"Extrajudicial Killing, Niger",2025-03-10,2025-03-10,1
IBD031927,"Extrajudicial Killing, Niger",2025-03-10,2025-03-10,1
IBD031904,"Auxiliary Nurse , Delta",2025-03-10,2025-03-10,1
IBD031926,"Extrajudicial Killings, Niger",2025-03-10,2025-03-10,1
IBD031916,"Police vs Kidnappers, Akwa Ibom",2025-03-10,2025-03-10,1
IBD031925,"Farmers vs Herders, Nasarawa",2025-03-10,2025-03-10,11
IBD031930,"Assailant vs Man, Lagos",2025-03-10,2025-03-10,1
IBD031961,"Police vs Kidnappers, Delta",2025-03-09,2025-03-09,4
IBD031911,"Lakurawa Bandits Kills 11, Kebbi",2025-03-09,2025-03-09,13
IBD031910,"Suspected Herders Kill 20, Ondo",2025-03-09,2025-03-09,17
IBD031915,"Customs Operavtives vs Smugglers, Ogun",2025-03-09,2025-03-09,1
IBD031912,"Auto Crash, Edo",2025-03-09,2025-03-09,8
IBD031917,"Auto Crash, Ogun",2025-03-09,2025-03-09,4
IBD031923,"Auto Crash, FCT (Abuja)",2025-03-09,2025-03-09,1
IBD031921,"Kidnappers vs Woman, Kaduna",2025-03-09,2025-03-09,1
IBD031934,"Murder, Niger",2025-03-08,2025-03-08,1
IBD031935,"Drown, Niger",2025-03-08,2025-03-08,1
IBD031919,"Palm Tree Kills Man, Ogun",2025-03-08,2025-03-08,1
IBD031906,"Fight, Lagos",2025-03-08,2025-03-08,1
IBD031922,"Man vs Friend, FCT (Abuja)",2025-03-08,2025-03-08,1
IBD031905,"Cultist vs DJ, Lagos",2025-03-08,2025-03-08,1
IBD031931,"Boko Haram vs Vigilante, Yobe",2025-03-08,2025-03-08,1
IBD031914,"Gunmen vs APC Council Chairman, Lagos",2025-03-08,2025-03-08,1
IBD031900,"Communal Clash, Niger",2025-03-08,2025-03-08,1
IBD031897,"Miyetti Allah Chairman, Kwara",2025-03-08,2025-03-08,1
IBD031951,"Boy Beheaded, Adamawa",2025-03-07,2025-03-07,1
IBD031932,"Herdsmen Attack, Kogi",2025-03-07,2025-03-07,2
IBD031899,"Auto Crash, Abia",2025-03-07,2025-03-07,5
IBD031898,"Ritual Killing, Edo",2025-03-07,2025-03-07,1
IBD031902,"Herdsmen Attack, Benue",2025-03-07,2025-03-08,15
IBD031885,"Medical Negligence, Benue",2025-03-06,2025-03-06,5
IBD031876,"Electrocution, Ogun",2025-03-06,2025-03-06,1
IBD031940,"Domestic Violence, Ogun",2025-03-06,2025-03-06,1
IBD031895,"Security Operatives vs Terrorist, Kebbi",2025-03-06,2025-03-06,1
IBD031882,"Building Collapse, Lagos",2025-03-05,2025-03-05,3
IBD031891,"Security Operatives vs Bandits, Zamfara",2025-03-05,2025-03-05,12
IBD031892,"Auto Crash/ Explosion, Niger",2025-03-05,2025-03-05,7
IBD031998,"Drowns, FCT (Abuja)",2025-03-05,2025-03-05,1
IBD031880,"Gunmen vs Cleric, Kaduna",2025-03-05,2025-03-05,1
IBD031894,"Auto Crash, Bayelsa",2025-03-05,2025-03-05,2
IBD031871,"Explosion, Oyo",2025-03-04,2025-03-04,2
IBD032053,"Auto Crash, Lagos",2025-03-04,2025-03-04,1
IBD031869,"Police vs Herder, Edo",2025-03-04,2025-03-04,1
IBD031870,"Auto Crash, Ogun",2025-03-04,2025-03-04,17
IBD031865,"Gunmen Attack, Abia",2025-03-04,2025-03-04,2
IBD031881,"Auto Crash, Anambra",2025-03-04,2025-03-04,10
IBD031848,"Bridge Collapse, Akwa Ibom",2025-03-04,2025-03-04,4
IBD031873,"Gunmen vs Immigration Officer, FCT (Abuja)",2025-03-04,2025-03-04,1
IBD031889,"Man Dies Working on Farm, FCT (Abuja)",2025-03-04,2025-03-04,1
IBD031884,"Police vs Kidnappers, FCT (Abuja)",2025-03-04,2025-03-04,14
IBD031879,"Auto Crash, Kogi",2025-03-03,2025-03-03,4
IBD031877,"Gunmen Attack, Benue",2025-03-03,2025-03-03,2
IBD031890,"Boko Harm Kill Police Officer Children, Borno",2025-03-03,2025-03-03,2
IBD031868,Gunmen vs Site Engineer Edo,2025-03-03,2025-03-03,1
IBD031867,"Drown, FCT (Abuja)",2025-03-03,2025-03-03,1
IBD031893,"Assailant vs Man, Ogun",2025-03-03,2025-03-03,1
IBD031936,"Bandit Leader, FCT (Abuja)",2025-03-03,2025-03-03,1
IBD031941,"Woman Killed, Bauchi",2025-03-02,2025-03-02,1
IBD031888,"Herders Kill Man, FCT (Abuja)",2025-03-02,2025-03-02,1
IBD031858,"Gunmen Kill One, Gombe",2025-03-02,2025-03-02,1
IBD031874,"Community leader Killed, Anambra",2025-03-02,2025-03-02,1
IBD031866,"Teenager, Ogun",2025-03-02,2025-03-02,1
IBD031861,"Herdsmen vs Vigilante, Delta",2025-03-02,2025-03-02,1
IBD031883,"Drug Addict Kill Phone Charger, Ogun",2025-03-01,2025-03-01,1
IBD031853,"Domestic Violence, Bauchi",2025-03-01,2025-03-01,1
IBD031854,"Herdsmen vs Farmers, Benue",2025-03-01,2025-03-01,6
IBD031939,"Policeman vs Okada Riders, Plateau",2025-03-01,2025-03-01,1
IBD031659,"Police vs Kidnappers, Kwara",2025-03-01,2025-03-01,2
IBD031855,"Gunmen vs Businessman, Ondo",2025-03-01,2025-03-01,1
IBD031913,"Female Corpses, Delta",2025-03-01,2025-03-01,2
IBD031852,"Auto Crash, Edo",2025-03-01,2025-03-01,12
IBD031857,"Gunmen vs Man, Zamafara",2025-03-01,2025-03-01,1
IBD031864,"Soldiers vs Boko Haram, Borno",2025-03-01,2025-03-01,15
IBD031860,"Cult Clash, Delta",2025-02-28,2025-02-28,2
IBD032001,"Inferno, Yobe",2025-02-28,2025-02-28,1
IBD031856,"Herdsmen Attack, Delta",2025-02-28,2025-02-28,1
IBD031808,"Auto Crash, Kwara",2025-02-28,2025-02-28,1
IBD031887,"Domestic Violence, Bauchi",2025-02-28,2025-02-28,1
IBD031862,"Banditry, Zamfara",2025-02-27,2025-02-27,2
IBD031839,"Auto Crash, Enugu",2025-02-27,2025-02-27,6
IBD031846,"Herdsmen Attack, Edo",2025-02-27,2025-02-27,2
IBD031851,"Banditry, Katsina",2025-02-27,2025-02-27,17
IBD031847,"Soldier Kill Man, Akwa Ibom",2025-02-27,2025-02-27,1
IBD031886,"Gunmen Attack, Ogun",2025-02-27,2025-02-27,1
IBD031901,"Domestic Violence, Lagos",2025-02-26,2025-02-26,1
IBD031850,"Bandits vs Farmers, Niger",2025-02-26,2025-02-26,10
IBD031844,"Cult Attack, Bayelsa",2025-02-26,2025-02-26,1
IBD031837,"Boko Haram Attack, Borno",2025-02-26,2025-02-26,7
IBD031843,"NAF Officer Kill Man, Kaduna",2025-02-26,2025-02-26,1
IBD031840,"Land Dispute, Delta",2025-02-26,2025-02-26,1
IBD031834,"Boko Haram Attack, Adamawa",2025-02-25,2025-02-26,40
IBD031822,"Kidnappers Kill Hunter, Oyo",2025-02-25,2025-02-25,1
IBD031838,"Boko Haram/ISWAP Landmine Kills 2, Borno",2025-02-25,2025-02-25,2
IBD031833,"Kidnappers vs Police Officers, Plateau",2025-02-25,2025-02-25,2
IBD031826,"Auto Crash, Yobe",2025-02-25,2025-02-25,10
IBD031828,"Auto Crash, Sokoto",2025-02-25,2025-02-25,3
IBD031812,"Auto Crash, Ogun",2025-02-24,2025-02-24,9
IBD031824,"Auto Crash, Lagos",2025-02-24,2025-02-24,2
IBD031830,"Boat Mishap, Delta",2025-02-24,2025-02-24,5
IBD031823,"Domestic Violence, Bauchi",2025-02-24,2025-02-24,1
IBD031842,"Auto Crash, Ogun",2025-02-24,2025-02-24,1
IBD031832,"Auto Crash, Bauchi",2025-02-24,2025-02-24,2
IBD031821,"Auto Crash, Lagos",2025-02-24,2025-02-24,1
IBD031845,"Police Kill Man, Enugu",2025-02-24,2025-02-24,1
IBD031836,"Herdsmen vs Vigilante Commander, Edo",2025-02-24,2025-02-24,1
IBD031813,"Herders vs Farmers, Edo",2025-02-24,2025-02-24,2
IBD031875,"Domestic Violence, Bauchi",2025-02-24,2025-02-24,1
IBD031820,"Security Operatives vs Artisan, Edo",2025-02-23,2025-02-23,1
IBD031819,"Security Operatives Kills 1, Katsina",2025-02-23,2025-02-23,1
IBD031816,"Man vs Friend, Niger",2025-02-23,2025-02-23,1
IBD031907,"Revenue Collector vs Truck Driver, Edo",2025-02-23,2025-02-23,1
IBD031825,"Auto Crash, Oyo",2025-02-23,2025-02-23,2
IBD031817,"Student Drowns, Bayelsa",2025-02-23,2025-02-23,1
IBD031841,"Fish Poison, Taraba",2025-02-22,2025-02-22,4
IBD031800,"Man Drowns, Ogun",2025-02-22,2025-02-22,1
IBD031806,"NAF Kill Bandits, Zamfara",2025-02-22,2025-02-22,23
IBD031804,"Car Accident, Jigawa",2025-02-22,2025-02-22,4
IBD031835,"Ritual Killing, Edo",2025-02-22,2025-02-22,1
IBD031799,"Auto Crash, Delta",2025-02-22,2025-02-22,1
IBD031803,"Farmer, Ogun",2025-02-22,2025-02-22,1
IBD031796,"Domestic Violence, Edo",2025-02-22,2025-02-22,1
IBD031795,"Witchcraft Suspect, Borno",2025-02-21,2025-02-21,1
IBD031814,"Banditry, Kaduna",2025-02-21,2025-02-21,1
IBD031798,"Auto Crash, Niger",2025-02-21,2025-02-21,13
IBD031810,"Motorcycle Thief, FCT (Abuja)",2025-02-21,2025-02-21,1
IBD031805,"Boy Drowns, Ogun",2025-02-21,2025-02-21,1
IBD031863,"Kidnappers Kills 1, Zamfara",2025-02-21,2025-02-21,1
IBD031818,"Domestic Violence, Lagos",2025-02-21,2025-02-21,1
IBD031827,"Security Operatives vs Bandits, Katsina",2025-02-21,2025-02-21,4
IBD031797,"Communal Clash, Edo",2025-02-20,2025-02-21,12
IBD031793,"Building Collapse, Yobe",2025-02-20,2025-02-20,1
IBD031802,"Banditry, Niger",2025-02-20,2025-02-20,4
IBD031794,"Police vs Kidnappers, Ogun",2025-02-20,2025-02-20,4
IBD031792,"Fallen Mast, Edo",2025-02-20,2025-02-20,1
IBD031786,"Banditry, Niger",2025-02-19,2025-02-19,1
IBD031811,"Ritual/Domestic Violence, Abia",2025-02-19,2025-02-19,3
IBD031785,"Explosion, Zamfara",2025-02-18,2025-02-18,3
IBD031768,"Domestic Violence, Ekiti",2025-02-18,2025-02-18,2
IBD031782,"Banditry, Zamfara",2025-02-18,2025-02-18,1
IBD031783,"Kidnappers Attack, FCT (Abuja)",2025-02-18,2025-02-18,2
IBD031769,"Communal Clash, Ebonyi",2025-02-18,2025-02-18,1
IBD031759,"Political Crisis, Osun",2025-02-17,2025-02-17,1
IBD031757,"Political Crisis, Osun",2025-02-17,2025-02-17,2
IBD031758,"Political Crisis, Osun",2025-02-17,2025-02-17,2
IBD031781,"Army vs Boko Haram, Borno",2025-02-17,2025-02-17,10
IBD031778,"Assailants vs Student, Ondo",2025-02-17,2025-02-17,1
IBD031753,"Gunmen Attack, Benue",2025-02-17,2025-02-17,3
IBD031755,"Cult Clash, Delta",2025-02-17,2025-02-17,1
IBD031771,"Auto Crash, Ogun",2025-02-16,2025-02-16,1
IBD031763,"Hoodlums vs Motorcyclist, FCT (Abuja)",2025-02-16,2025-02-16,1
IBD031878,"Extrajudicial Killing, Ondo",2025-02-16,2025-02-16,1
IBD031756,"Inferno, Ondo",2025-02-16,2025-02-16,3
IBD031760,"Auto Crash, Imo",2025-02-16,2025-02-16,8
IBD031766,"Ritual Killing, Ogun",2025-02-16,2025-02-16,1
IBD031742,"Security Operatives vs Armed Robber, Ogun",2025-02-16,2025-02-16,1
IBD031761,"Auto Crash, Kogi",2025-02-16,2025-02-16,7
IBD031770,"Kidnappers Attack, Imo",2025-02-16,2025-02-16,1
IBD031772,"Auto Crash, Delta",2025-02-16,2025-02-16,17
IBD031767,"Security Operatives vs Student, Kaduna",2025-02-16,2025-02-16,1
IBD031743,"Mysterious Death, Ogun",2025-02-15,2025-02-15,1
IBD031749,"Gunmen Attack, Kwara",2025-02-15,2025-02-15,1
IBD031751,"Kidnapers vs Health Worker, Ondo",2025-02-15,2025-02-15,1
IBD031745,"Mob vs Robbers, FCT (Abuja)",2025-02-15,2025-02-15,2
IBD031752,"Herdsmen vs Farmers, Benue",2025-02-15,2025-02-15,22
IBD031750,"Mob vs NDLEA Officer/ Auto Crash, Kaduna",2025-02-15,2025-02-15,4
IBD031849,"Friends Murder Man, Lagos",2025-02-15,2025-02-15,1
IBD031744,"Corpse Found, Kano",2025-02-15,2025-02-15,1
IBD031748,"Army vs Villagers, Katsina",2025-02-15,2025-02-15,10
IBD031920,"Domestic Violence, Cross River",2025-02-15,2025-02-15,1
IBD031960,"Fire Incidents, Kano",2025-02-15,2025-02-15,7
IBD031737,"Police vs Kidnappers, Kebbi",2025-02-14,2025-02-14,4
IBD031859,"Domestic Violence, Ondo",2025-02-14,2025-02-14,1
IBD031740,"Assailant vs Traditional Ruler, Abia",2025-02-14,2025-02-14,1
IBD031736,"Auto Crash, Anambra",2025-02-14,2025-02-14,8
IBD031765,"Cult Clash, Lagos",2025-02-14,2025-02-15,2
IBD031746,"Extrajudicial Killing, Ondo",2025-02-14,2025-02-14,1
IBD031732,"Kidnappers Set Ablaze, Delta",2025-02-13,2025-02-13,2
IBD031733,"Auto Crash, Ogun",2025-02-13,2025-02-13,1
IBD031764,"Cult Clash, Ogun",2025-02-13,2025-02-13,1
IBD031780,"Man vs Friend, FCT (Abuja)",2025-02-13,2025-02-13,1
IBD031779,"Extrajudicial Killing, Delta",2025-02-13,2025-02-13,2
IBD031734,"Auto Crash, Kano",2025-02-13,2025-02-13,23
IBD031727,"Auto Crash, bauchi",2025-02-12,2025-02-12,1
IBD031728,"Police vs Armed Robbers, FCT (Abuja)",2025-02-12,2025-02-12,3
IBD031741,"Extrajudicial Killing, Lagos",2025-02-12,2025-02-12,1
IBD031729,"Stab to Death, Rivers",2025-02-12,2025-02-12,1
IBD031829,"Kidnappers Kill Two, Kogi",2025-02-12,2025-02-12,2
IBD031807,"Extrajudicial Killing, Benue",2025-02-11,2025-02-11,1
IBD031713,"Mob vs Thief, Akwa Ibom",2025-02-11,2025-02-11,1
IBD031726,"Auto Crash, Taraba",2025-02-11,2025-02-11,3
IBD031738,"Ritual Killing, Kwara",2025-02-11,2025-02-11,1
IBD031717,"Bandits vs Traders, Katsina",2025-02-10,2025-02-10,1
IBD031714,"Communal Clash, Akwa Ibom",2025-02-10,2025-02-10,1
IBD031762,"Kidnap Victim, FCT (Abuja)",2025-02-10,2025-02-10,1
IBD031709,"Auto Crash, Niger",2025-02-10,2025-02-10,1
IBD031720,"Assailants vs Girl, Ekiti",2025-02-10,2025-02-10,1
IBD031721,"Student Drowns, Benue",2025-02-10,2025-02-10,1
IBD031719,"Gunmen vs Police Officer, Yobe",2025-02-09,2025-02-09,2
IBD031705,"Gunmen Kill Pastor, Gombe",2025-02-09,2025-02-09,1
IBD031708,"Auto Crash, Jigawa",2025-02-09,2025-02-09,5
IBD031704,"Communal Clash, Abia",2025-02-09,2025-02-09,1
IBD031690,"Police Kill Man, Rivers",2025-02-09,2025-02-09,1
IBD031747,"Police vs IPOB/ESN, Imo",2025-02-09,2025-02-09,3
IBD031706,"Herdsmen Kill Girl, Ekiti",2025-02-09,2025-02-09,1
IBD031703,"Troops vs Bandits, Zamfara",2025-02-09,2025-02-09,4
IBD031692,"Cult Clash, Rivers",2025-02-09,2025-02-09,20
IBD031701,"Communal Clash, Cross RIvers",2025-02-09,2025-02-09,4
IBD031702,"Burglars vs Woman, Delta",2025-02-09,2025-02-09,1
IBD031693,"Banditry, Sokoto",2025-02-09,2025-02-09,1
IBD031694,"Cult Clash, Benue",2025-02-09,2025-02-09,4
IBD031707,"Student Dies, Lagos",2025-02-08,2025-02-08,1
IBD031697,"Auto Crash, Kwara",2025-02-08,2025-02-08,1
IBD031754,Police vs IPOB/ESN Imo,2025-02-08,2025-02-08,2
IBD031731,"Cult Clashes, Abia",2025-02-07,2025-02-14,3
IBD031723,"Extrajudicial Killing, Enugu",2025-02-07,2025-02-07,1
IBD031680,"Drowns/Mysterious Death, Ondo",2025-02-07,2025-02-07,1
IBD031689,"Soldiers vs Bandits, Zamfara",2025-02-07,2025-02-07,44
IBD031686,"Domestic Violence, Anambra",2025-02-07,2025-02-07,1
IBD031710,"Assailants vs Uber Driver, Lagos",2025-02-07,2025-02-07,1
IBD031716,"Bandits vs Traders, Katsina",2025-02-07,2025-02-07,12
IBD031715,"Teacher vs Student, Delta",2025-02-06,2025-02-06,1
IBD031963,"Domestic Violence, Akwa Ibom",2025-02-06,2025-02-06,1
IBD031674,"Cult Clash, Rivers",2025-02-06,2025-02-06,7
IBD031675,"Gunmen Attack, Katsina",2025-02-06,2025-02-06,1
IBD031684,"Lakurawa Kill 1, Kebbi",2025-02-06,2025-02-06,1
IBD031730,"Cult Clashes, Abia",2025-02-06,2025-02-13,2
IBD031790,"Stray Bullet, Delta",2025-02-06,2025-02-06,1
IBD031685,"Troops vs Bandits, Zamfara",2025-02-06,2025-02-06,4
IBD031711,"Domestic Violence, Akwa Ibom",2025-02-06,2025-02-06,1
IBD031679,"Woman vs Neighbour, Rivers",2025-02-06,2025-02-06,1
IBD031687,"Domestic Violence, Akwa Ibom",2025-02-06,2025-02-06,1
IBD031683,"Bandits Attack, Katsina",2025-02-06,2025-02-06,2
IBD031696,"Student vs Colleague, Nasarawa",2025-02-06,2025-02-06,1
IBD031962,"Domestic Violence, Akwa Ibom",2025-02-06,2025-02-06,1
IBD031664,"Inferno, Zamfara",2025-02-05,2025-02-05,17
IBD031695,"Auto Crash, Lagos",2025-02-05,2025-02-05,1
IBD031700,"Domestic Violence, Kano",2025-02-05,2025-02-05,1
IBD031663,"Man vs Trader, FCT (Abuja)",2025-02-05,2025-02-05,1
IBD031725,"Bandit vs Vigilante, Niger",2025-02-05,2025-02-05,1
IBD031672,"Domestic Violence, Bayelsa",2025-02-04,2025-02-04,1
IBD031698,"Boko Haram Explosion, Borno",2025-02-04,2025-02-04,2
IBD031676,"Herdsmen vs Hunters, Benue",2025-02-04,2025-02-04,6
IBD031678,"Auto Crash, Ogun",2025-02-04,2025-02-04,3
IBD031652,"Troops vs Boko Haram/ISWAP, Borno",2025-02-04,2025-02-04,7
IBD031677,"Security Operative vs Bolt Driver, Edo",2025-02-04,2025-02-04,1
IBD031670,"Police vs Bandits, Bauchi",2025-02-04,2025-02-04,2
IBD031668,"Auto Crash, Ogun",2025-02-04,2025-02-04,1
IBD031649,"Auto Crash, Niger",2025-02-03,2025-02-03,4
IBD031682,"Domestic Violence, Niger",2025-02-03,2025-02-03,1
IBD031661,"Auto Crash, Ogun",2025-02-03,2025-02-03,1
IBD031699,"Corpse Found, FCT (Abuja)",2025-02-03,2025-02-03,1
IBD031666,"Gunmen Attack, Lagos",2025-02-03,2025-02-04,2
